广告投放报表(2018-06-01至2018-06-13),,,,,,,,,
日期,投放,投放ID,投放,订单,显示数,点击数,(%)点击率,唯一显示数,唯一点击数
2018-06-09,BD - 西门子首席财务官4.0_FT中文网-市场_Text_Link_3,606729,,BD - 西门子首席财务官4.0,73991,13,0.02,55336,12
2018-06-09,C-Suite Targeting_MPU_1_300*250,606635,,O-18-008,2493,0,0,2124,0
2018-06-09,C-suite Section Targeting_MPU_1_300*600,606636,,O-18-008,2426,0,0,2086,0
2018-06-09,Global Economy Section Targeting_MPU_1_300*250,606633,,O-18-008,2702,0,0,1525,0
2018-06-09,Global Economy Section _MPU_1_300*600,606634,,O-18-008,2010,0,0,1286,0
2018-06-09,Management Section Targeting_MPU_1_300*250,606619,,O-18-008,3720,0,0,3053,0
2018-06-09,Management Section Targeting_MPU_1_300*600,606618,,O-18-008,3720,0,0,3031,0
2018-06-09,hide-story-mpu2,606764,,BJ-18-032,5,0,0,5,0
2018-06-09,hide-story-mpu3,606766,,BJ-18-032,5,0,0,5,0
2018-06-09,hide-story-底通,606767,,BJ-18-032,4,0,0,4,0
2018-06-09,mobile-顶通-补投,606677,,BJ-18-030,0,1,0,0,1
2018-06-09,mobile-全屏-3,606613,,BJ-18-026,0,2,0,0,2
2018-06-09,mobile-信息流,606673,,BJ-18-030,0,1,0,0,1
2018-06-09,mobile-专题mpu,606753,,BJ-18-032,9,0,0,8,0
2018-06-09,mobile-专题顶部通栏,606752,,BJ-18-032,62,0,0,57,0
2018-06-09,pc-专题-半幅画中画1,606745,,BJ-18-032,13,0,0,11,0
2018-06-09,pc-专题-顶部大通栏,606742,,BJ-18-032,12,2,16.67,10,2
2018-06-09,每日英语-通栏三,606759,,FT每日英语-通栏三,37726,4,0.01,29961,4
2018-06-08,BD - 西门子首席财务官4.0_FT中文网-市场_Text_Link_3,606729,,BD - 西门子首席财务官4.0,121201,24,0.02,84115,23
2018-06-08,C-Suite Targeting_MPU_1_300*250,606635,,O-18-008,2491,0,0,2309,0
2018-06-08,C-suite Section Targeting_MPU_1_300*600,606636,,O-18-008,2423,0,0,2240,0
2018-06-08,Global Economy Section Targeting_MPU_1_300*250,606633,,O-18-008,2700,0,0,2120,0
2018-06-08,Global Economy Section _MPU_1_300*600,606634,,O-18-008,2009,0,0,1663,0
2018-06-08,MOBILE-MPU2,606693,,BJ-18-027,89906,72,0.08,75033,70
2018-06-08,MOBILE-顶通,606692,,BJ-18-027,69802,57,0.08,59899,55
2018-06-08,MOBILE-顶通-补投,606694,,BJ-18-027,330384,255,0.08,269010,241
2018-06-08,Management Section Targeting_MPU_1_300*250,606619,,O-18-008,3715,0,0,3310,0
2018-06-08,Management Section Targeting_MPU_1_300*600,606618,,O-18-008,3714,0,0,3343,0
2018-06-08,hide-story-mpu2,606764,,BJ-18-032,38,0,0,7,0
2018-06-08,hide-story-mpu3,606766,,BJ-18-032,12,0,0,6,0
2018-06-08,hide-story-底通,606767,,BJ-18-032,16,0,0,7,0
2018-06-08,mobile-顶通-补投,606651,,BJ-18-026,0,1,0,0,1
2018-06-08,mobile-画中画2,606617,,BJ-18-021,0,1,0,0,1
2018-06-08,mobile-信息流,606576,,BJ-17-058-part 2,0,2,0,0,2
2018-06-08,mobile-专题mpu,606753,,BJ-18-032,1,0,0,1,0
2018-06-08,mobile-专题顶部通栏,606752,,BJ-18-032,20,0,0,17,0
2018-06-08,pc-专题-半幅画中画1,606745,,BJ-18-032,90,2,2.22,14,1
2018-06-08,pc-专题-顶部大通栏,606742,,BJ-18-032,89,5,5.62,12,1
2018-06-08,每日英语-通栏三,606759,,FT每日英语-通栏三,47791,8,0.02,37035,8
2018-06-07,BD - 西门子首席财务官4.0_FT中文网-市场_Text_Link_3,606729,,BD - 西门子首席财务官4.0,123112,23,0.02,86185,22
2018-06-07,C-Suite Targeting_MPU_1_300*250,606635,,O-18-008,2490,0,0,2243,0
2018-06-07,C-suite Section Targeting_MPU_1_300*600,606636,,O-18-008,2424,0,0,2168,0
2018-06-07,Global Economy Section Targeting_MPU_1_300*250,606633,,O-18-008,2701,0,0,2115,0
2018-06-07,Global Economy Section _MPU_1_300*600,606634,,O-18-008,2009,0,0,1646,0
2018-06-07,MOBILE-MPU2,606693,,BJ-18-027,89950,91,0.1,75021,91
2018-06-07,MOBILE-顶通,606692,,BJ-18-027,69959,61,0.09,59930,59
2018-06-07,MOBILE-顶通-补投,606694,,BJ-18-027,258682,184,0.07,212975,177
2018-06-07,Management Section Targeting_MPU_1_300*250,606619,,O-18-008,3718,0,0,3253,0
2018-06-07,Management Section Targeting_MPU_1_300*600,606618,,O-18-008,3718,0,0,3290,0
2018-06-07,mobile-全屏-3,606613,,BJ-18-026,0,3,0,0,3
2018-06-07,mobile-信息流,606673,,BJ-18-030,0,1,0,0,1
2018-06-06,BD - 西门子首席财务官4.0_FT中文网-市场_Text_Link_3,606729,,BD - 西门子首席财务官4.0,125734,19,0.02,86618,19
2018-06-06,C-Suite Targeting_MPU_1_300*250,606635,,O-18-008,2491,0,0,2276,0
2018-06-06,C-suite Section Targeting_MPU_1_300*600,606636,,O-18-008,2424,0,0,2219,0
2018-06-06,Global Economy Section Targeting_MPU_1_300*250,606633,,O-18-008,2700,0,0,2120,0
2018-06-06,Global Economy Section _MPU_1_300*600,606634,,O-18-008,2010,0,0,1655,0
2018-06-06,HP_MPU1,605992,,上海测试_1121,1,0,0,1,0
2018-06-06,HP_leaderboard,605991,,上海测试_1121,1,0,0,1,0
2018-06-06,MOBILE-MPU2,606693,,BJ-18-027,89948,79,0.09,74770,77
2018-06-06,MOBILE-顶通,606692,,BJ-18-027,69959,49,0.07,59970,48
2018-06-06,MOBILE-顶通-补投,606694,,BJ-18-027,219648,155,0.07,181032,145
2018-06-06,Management Section Targeting_MPU_1_300*250,606619,,O-18-008,3718,0,0,3297,0
2018-06-06,Management Section Targeting_MPU_1_300*600,606618,,O-18-008,3716,0,0,3303,0
2018-06-06,event2,606587,,电商-财经词汇,0,1,0,0,1
2018-06-06,hp banner,606533,,上海测试_1121,1,0,0,1,0
2018-06-06,hp mpu3,606534,,上海测试_1121,1,0,0,1,0
2018-06-06,mobile-底通,606675,,BJ-18-030,59934,22,0.04,50291,21
2018-06-06,mobile-顶通,606674,,BJ-18-030,49964,3,0.01,43827,3
2018-06-06,mobile-顶通-补投,606651,,BJ-18-026,0,1,0,0,1
2018-06-06,mobile-顶通-补投,606677,,BJ-18-030,219841,177,0.08,181323,158
2018-06-06,mobile-全屏-3,606613,,BJ-18-026,0,2,0,0,2
2018-06-06,mobile-信息流,606673,,BJ-18-030,29985,245,0.82,25758,231
2018-06-05,Article page_MPU1,606078,,上海测试_1121,13,0,0,3,0
2018-06-05,Article page_leaderboard,606077,,上海测试_1121,13,0,0,2,0
2018-06-05,BD - 埃森哲论坛 会员中心_FT中文网-市场_next_event_1,606679,,BD - 埃森哲论坛 会员中心,0,1,0,0,1
2018-06-05,BD - 葡萄酒大师班_FT中文网-市场_Text_Link_2,606649,,BD - 葡萄酒大师班,0,1,0,0,1
2018-06-05,BD - 西门子首席财务官4.0_FT中文网-市场_Text_Link_3,606729,,BD - 西门子首席财务官4.0,128240,25,0.02,89032,24
2018-06-05,C-Suite Targeting_MPU_1_300*250,606635,,O-18-008,2492,0,0,2366,0
2018-06-05,C-suite Section Targeting_MPU_1_300*600,606636,,O-18-008,2425,0,0,2298,0
2018-06-05,Global Economy Section Targeting_MPU_1_300*250,606633,,O-18-008,2701,0,0,2154,0
2018-06-05,Global Economy Section _MPU_1_300*600,606634,,O-18-008,2008,0,0,1628,0
2018-06-05,MOBILE-MPU2,606693,,BJ-18-027,119917,116,0.1,99090,112
2018-06-05,MOBILE-顶通,606692,,BJ-18-027,69927,50,0.07,60753,49
2018-06-05,MOBILE-顶通-补投,606694,,BJ-18-027,261193,174,0.07,216478,153
2018-06-05,Management Section Targeting_MPU_1_300*250,606619,,O-18-008,3718,0,0,3442,0
2018-06-05,Management Section Targeting_MPU_1_300*600,606618,,O-18-008,3720,0,0,3408,0
2018-06-05,hp-leaderboard-offshore,605985,,offshore-test,14,0,0,4,0
2018-06-05,hp-mpu-1-offshore,605984,,offshore-test,14,0,0,3,0
2018-06-05,hp-mpu-2-offshore,605986,,offshore-test,14,0,0,4,0
2018-06-05,mo-infor cpc,606697,,SH-18-008,0,1,0,0,1
2018-06-05,mobile-底通,606675,,BJ-18-030,59923,19,0.03,49460,19
2018-06-05,mobile-顶通,606674,,BJ-18-030,49973,5,0.01,44576,2
2018-06-05,mobile-顶通-补投,606677,,BJ-18-030,261382,178,0.07,216126,162
2018-06-05,mobile-内页画中画2,606577,,BJ-17-058-part 2,0,1,0,0,1
2018-06-05,mobile-全屏-3,606613,,BJ-18-026,0,2,0,0,2
2018-06-05,mobile-信息流,606673,,BJ-18-030,29989,216,0.72,26026,204
2018-06-05,pc-hp-mpu2,606689,,BJ-18-002,37947,80,0.21,31535,17
2018-06-05,pc-ros-底通,606690,,BJ-18-002,130671,47,0.04,58859,27
2018-06-05,ros-banner,606536,,上海测试_1121,27,0,0,3,0
2018-06-05,ros-mpu2,606535,,上海测试_1121,13,0,0,2,0
2018-06-04,Article page_MPU1,606078,,上海测试_1121,2,0,0,1,0
2018-06-04,Article page_leaderboard,606077,,上海测试_1121,2,0,0,1,0
2018-06-04,BD - 西门子首席财务官4.0_FT中文网-市场_Text_Link_3,606729,,BD - 西门子首席财务官4.0,76752,7,0.01,57503,6
2018-06-04,C-Suite Targeting_MPU_1_300*250,606635,,O-18-008,2490,0,0,2181,0
2018-06-04,C-suite Section Targeting_MPU_1_300*600,606636,,O-18-008,2423,0,0,2133,0
2018-06-04,Global Economy Section Targeting_MPU_1_300*250,606633,,O-18-008,2695,0,0,2330,0
2018-06-04,Global Economy Section _MPU_1_300*600,606634,,O-18-008,2007,0,0,1790,0
2018-06-04,MOBILE-MPU2,606693,,BJ-18-027,89886,113,0.13,78452,113
2018-06-04,MOBILE-顶通,606692,,BJ-18-027,69893,81,0.12,61618,75
2018-06-04,MOBILE-顶通-补投,606694,,BJ-18-027,266722,207,0.08,224928,189
2018-06-04,Management Section Targeting_MPU_1_300*250,606619,,O-18-008,3714,0,0,3196,0
2018-06-04,Management Section Targeting_MPU_1_300*600,606618,,O-18-008,3713,0,0,3215,0
2018-06-04,hp-leaderboard-offshore,605985,,offshore-test,9,0,0,1,0
2018-06-04,hp-mpu-1-offshore,605984,,offshore-test,9,0,0,1,0
2018-06-04,hp-mpu-2-offshore,605986,,offshore-test,9,0,0,1,0
2018-06-04,mobile-底通,606675,,BJ-18-030,29947,9,0.03,27096,8
2018-06-04,mobile-顶通,606674,,BJ-18-030,49907,1,0,44916,1
2018-06-04,mobile-顶通-补投,606677,,BJ-18-030,267122,223,0.08,225306,186
2018-06-04,mobile-全屏-3,606613,,BJ-18-026,0,6,0,0,3
2018-06-04,mobile-信息流,606673,,BJ-18-030,29941,231,0.77,26132,211
